2,A2020920,天线原理,3,48 | 0 | 0 | 0,光电工程学院,必修
3,A2020930,微波工程,2.5,40 | 0 | 0 | 0,光电工程学院,必修
4,A2020970,现代微波测量技术,1.5,8 | 16 | 0 | 0,光电工程学院,必修
5,A2020980,天线设计与测试实验,2,0 | 32 | 0 | 0,光电工程学院,必修
6,A2021140,电子电路仿真设计实验,1,0 | 16 | 0 | 0,光电工程学院,选修
7,A2020410,通信电子电路A,3,48 | 0 | 0 | 0,光电工程学院,选修
8,A2020641,模拟集成电路设计B,3,40 | 8 | 0 | 0,光电工程学院,选修
9,A2020860,课程设计（电路及电子综合设计）,1,0 | 0 | 1.0周 | 0,光电工程学院,选修
1,A2020431,电磁场与电磁波(双语)B,3,48 | 0 | 0 | 0,光电工程学院,必修
2,A2020310,信息光学与光信息处理,3,48 | 0 | 0 | 0,光电工程学院,必修
3,A2021160,光电子技术及应用,3,48 | 0 | 0 | 0,光电工程学院,必修
4,A2021560,英文学术交流与报告,1,16 | 0 | 0 | 0,光电工程学院,必修
5,A2021490,光电信息综合实验,3,0 | 48 | 0 | 0,光电工程学院,必修
6,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
7,A2010561,信号与系统D,3,48 | 0 | 0 | 0,通信与信息工程学院,选修
8,A2020190,集成光学,3,48 | 0 | 0 | 0,光电工程学院,选修
9,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,选修
1,A1100050,毛泽东思想和中国特色社会主义理论体系概论,6,48 | 0 | 1.5周 | 24,马克思主义学院,必修
2,A2030190,经济学,4,64 | 0 | 0 | 0,经济管理学院,必修
3,A2031040,会计学,3,48 | 0 | 0 | 0,经济管理学院,必修
4,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,必修
5,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
6,A2030530,管理系统仿真,3,36 | 12 | 0 | 0,经济管理学院,选修
7,A2030660,数据挖掘原理与技术,3,32 | 16 | 0 | 0,经济管理学院,选修
8,A2030700,信息资源管理,2,32 | 0 | 0 | 0,经济管理学院,选修
9,A2032460,智能终端应用程序开发,3,32 | 16 | 0 | 0,经济管理学院,选修
10,A1050170,日语2,2,32 | 0 | 0 | 0,外国语学院,选修
11,A1050210,法语2,2,32 | 0 | 0 | 0,外国语学院,选修
12,A1050190,德语2,2,32 | 0 | 0 | 0,外国语学院,选修
1,A2030100,计量经济学,3,48 | 0 | 0 | 0,经济管理学院,必修
2,A2030110,课程设计（计量经济学）,1,0 | 0 | 1.0周 | 0,经济管理学院,必修
3,A2030260,证券投资学,3,32 | 16 | 0 | 0,经济管理学院,必修
4,A1100050,毛泽东思想和中国特色社会主义理论体系概论,6,48 | 0 | 1.5周 | 24,马克思主义学院,必修
5,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,必修
6,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
7,A1050170,日语2,2,32 | 0 | 0 | 0,外国语学院,选修
8,A1050190,德语2,2,32 | 0 | 0 | 0,外国语学院,选修
9,A1050210,法语2,2,32 | 0 | 0 | 0,外国语学院,选修
10,A2030210,发展经济学,2,32 | 0 | 0 | 0,经济管理学院,选修
11,A2030220,商业银行经营管理,3,32 | 16 | 0 | 0,经济管理学院,选修
