4,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,必修
5,A2030090,互联网金融,2,16 | 16 | 0 | 0,经济管理学院,选修
6,A2030240,网络经济学,3,48 | 0 | 0 | 0,经济管理学院,选修
7,A2030290,中级宏微观经济学,3,48 | 0 | 0 | 0,经济管理学院,选修
8,A2031730,运筹学,3,48 | 0 | 0 | 0,经济管理学院,选修
9,A1030040,数据库系统应用,3,32 | 16 | 0 | 0,经济管理学院,选修
10,A1030050,计算机网络技术,3,32 | 16 | 0 | 0,经济管理学院,选修
1,A2030670,通信工程概预算,2.5,24 | 16 | 0 | 0,经济管理学院,必修
2,A2030480,工程监理,3,48 | 0 | 0 | 0,经济管理学院,必修
3,A2030910,工程招投标与合同管理,2,32 | 0 | 0 | 0,经济管理学院,必修
4,A200001B,认识实习,1,0 | 0 | 1.0周 | 0,经济管理学院,必修
5,A2030330,BIM施工管理实训,2,0 | 0 | 2.0周 | 0,经济管理学院,必修
6,A2030440,课程设计（工程估价）,1,0 | 0 | 1.0周 | 0,经济管理学院,必修
7,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,必修
8,A2070160,经济法B,2,32 | 0 | 0 | 0,网络空间安全与信息法学院,选修
9,A2030420,工程材料与施工技术,3,48 | 0 | 0 | 0,经济管理学院,选修
10,A2031180,商务谈判,2,32 | 0 | 0 | 0,经济管理学院,选修
1,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,必修
1,A2031790,ICT企业模拟经营实训,1,0 | 0 | 1.0周 | 0,经济管理学院,必修
2,A200004B,企业调查,1,0 | 0 | 1.0周 | 0,经济管理学院,必修
3,A2031110,领导行为与艺术,1,16 | 0 | 0 | 0,经济管理学院,必修
4,A2031310,ICT项目管理,2,32 | 0 | 0 | 0,经济管理学院,必修
5,A2031170,商务决策支持系统模拟实验,1,0 | 16 | 0 | 0,经济管理学院,选修
6,A2030850,创意管理实验,1,0 | 16 | 0 | 0,经济管理学院,选修
7,A2031070,绩效评估与薪酬管理,3,48 | 0 | 0 | 0,经济管理学院,选修
8,A2030290,中级宏微观经济学,3,48 | 0 | 0 | 0,经济管理学院,选修
9,A2031570,生产与运作管理,3,48 | 0 | 0 | 0,经济管理学院,选修
10,A2032140,通信业务管理,3,32 | 16 | 0 | 0,经济管理学院,选修
