1,A200005D,毕业实习,3,0 | 0 | 3.0周 | 0,计算机科学与技术学院,必修
2,A2040440,软件架构与应用开发实践,2,0 | 0 | 2.0周 | 0,计算机科学与技术学院,必修
3,A2040750,计算机与智能科学前沿,1,16 | 0 | 0 | 0,计算机科学与技术学院,选修
1,A200005D,毕业实习,3,0 | 0 | 3.0周 | 0,计算机科学与技术学院,必修
2,A2040590,信息安全综合实践,2,0 | 0 | 2.0周 | 0,网络空间安全与信息法学院,必修
3,A2040650,云计算与大数据综合实践,2,0 | 0 | 2.0周 | 0,计算机科学与技术学院,选修
4,A2040760,网络空间安全前沿,1,16 | 0 | 0 | 0,网络空间安全与信息法学院,选修
5,A2040220,大数据分析与处理,2,32 | 0 | 0 | 0,计算机科学与技术学院,选修
1,A200005D,毕业实习,3,0 | 0 | 3.0周 | 0,计算机科学与技术学院,必修
2,A2040340,空间信息与数字技术综合实践,2,0 | 0 | 2.0周 | 0,计算机科学与技术学院,必修
3,A2040750,计算机与智能科学前沿,1,16 | 0 | 0 | 0,计算机科学与技术学院,选修
1,A200005D,毕业实习,3,0 | 0 | 3.0周 | 0,计算机科学与技术学院,必修
2,A2040340,空间信息与数字技术综合实践,2,0 | 0 | 2.0周 | 0,计算机科学与技术学院,必修
3,A2040650,云计算与大数据综合实践,2,0 | 0 | 2.0周 | 0,计算机科学与技术学院,选修
4,A2040501,数据挖掘基础B,2,32 | 0 | 0 | 0,计算机科学与技术学院,选修
5,A2040750,计算机与智能科学前沿,1,16 | 0 | 0 | 0,计算机科学与技术学院,选修
6,A2040700,智能终端软件开发技术,2,32 | 0 | 0 | 0,计算机科学与技术学院,选修
1,A200005D,毕业实习,3,0 | 0 | 3.0周 | 0,计算机科学与技术学院,必修
2,A2040680,智能应用系统综合设计实践,3,0 | 0 | 3.0周 | 0,计算机科学与技术学院,必修
3,A2040490,数据可视化技术,2,32 | 0 | 0 | 0,计算机科学与技术学院,选修
4,A2040380,模式识别,2,32 | 0 | 0 | 0,计算机科学与技术学院,选修
5,A2040750,计算机与智能科学前沿,1,16 | 0 | 0 | 0,计算机科学与技术学院,选修
1,A200005D,毕业实习,3,0 | 0 | 3.0周 | 0,计算机科学与技术学院,必修
2,A2040540,网络工程综合实践,2,0 | 0 | 2.0周 | 0,计算机科学与技术学院,必修
3,A2040750,计算机与智能科学前沿,1,16 | 0 | 0 | 0,计算机科学与技术学院,选修
4,A2040081,嵌入式系统设计B,2,32 | 0 | 0 | 0,计算机科学与技术学院,选修
1,A200005E,毕业实习,8,0 | 0 | 8.0周 | 0,计算机科学与技术学院,必修
2,A2040440,软件架构与应用开发实践,2,0 | 0 | 2.0周 | 0,计算机科学与技术学院,必修
3,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,必修
4,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
5,A2040750,计算机与智能科学前沿,1,16 | 0 | 0 | 0,计算机科学与技术学院,选修
1,A200005E,毕业实习,8,0 | 0 | 8.0周 | 0,计算机科学与技术学院,必修
2,A2040590,信息安全综合实践,2,0 | 0 | 2.0周 | 0,网络空间安全与信息法学院,必修
3,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,必修
4,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
5,A2040440,软件架构与应用开发实践,2,0 | 0 | 2.0周 | 0,计算机科学与技术学院,选修
6,A2040760,网络空间安全前沿,1,16 | 0 | 0 | 0,网络空间安全与信息法学院,选修
1,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
2,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,选修
1,A2050010,翻译报告写作,1,0 | 0 | 1.0周 | 0,外国语学院,必修
2,A2051200,课程设计（中国文化外译）,0.5,0 | 0 | 0.5周 | 0,外国语学院,必修
3,A2051320,信息科技英语翻译笔译工作坊 II,2,0 | 32 | 0 | 0,外国语学院,选修
4,A2050430,视译,2,16 | 16 | 0 | 0,外国语学院,选修
5,A2050310,跨文化技术沟通,2,32 | 0 | 0 | 0,外国语学院,选修
6,A2050260,交替传译,2,16 | 16 | 0 | 0,外国语学院,选修
1,A2050480,学术论文写作,1,0 | 0 | 1.0周 | 0,外国语学院,必修
2,A2050520,英汉口译,2,16 | 16 | 0 | 0,外国语学院,必修
3,A2051350,课程设计（ICT口译实践）,0.5,0 | 0 | 0.5周 | 0,外国语学院,必修
4,A2051280,英语网络文学选读,2,32 | 0 | 0 | 0,外国语学院,选修
5,A2051300,英语戏剧,2,32 | 0 | 0 | 0,外国语学院,选修
6,A2050450,西方人文经典,2,32 | 0 | 0 | 0,外国语学院,选修
7,A2050310,跨文化技术沟通,2,32 | 0 | 0 | 0,外国语学院,选修
1,A2060070,专业实践综合实验,1,0 | 0 | 1.0周 | 0,生物信息学院,必修
2,A200005G,毕业实习,1,0 | 0 | 1.0周 | 0,生物信息学院,必修
3,A2060250,课程设计（医学电子）,1,0 | 0 | 1.0周 | 0,生物信息学院,必修
4,A1090030,体育（俱乐部）,0.5,16 | 0 | 0 | 0,体育学院,必修
5,A1100010,形势与政策,0,8 | 0 | 0 | 0,马克思主义学院,必修
6,A2060700,生物医学数据库,3,32 | 16 | 0 | 0,生物信息学院,选修
7,A2060390,生物信息软件开发,2,16 | 16 | 0 | 0,生物信息学院,选修
8,A2060020,移动医疗与健康服务,2,32 | 0 | 0 | 0,生物信息学院,选修
9,A2060200,医学信息系统,2,16 | 16 | 0 | 0,生物信息学院,选修
10,A2060110,远程医疗与服务,2,32 | 0 | 0 | 0,生物信息学院,选修
11,A2060130,医疗器械检测技术与注册管理,3,48 | 0 | 0 | 0,生物信息学院,选修
1,A200005G,毕业实习,1,0 | 0 | 1.0周 | 0,生物信息学院,必修
2,A2060670,课程设计（分子模拟与计算）,1,0 | 0 | 1.0周 | 0,生物信息学院,必修
