,序号,课程号,课程名称,开课学院,是否
77,78,A2050040,德语1,外国语学院,是
78,79,A2050100,法语1,外国语学院,是
79,80,A2050360,日语1,外国语学院,是
80,81,A2050320,跨文化交际,外国语学院,是
81,82,A2020353,电路分析基础C,光电工程学院,是
82,83,A2021021,电路与模拟电子技术A,光电工程学院,是
83,84,A2021200,模拟电子电路实验,光电工程学院,是
84,85,A2010561,信号与系统D,通信与信息工程学院,是
85,86,A2020361,电子电路基础C,光电工程学院,是
86,87,A2080580,软件技术基础,自动化学院,是
87,88,A1110361,大学物理C（下）,理学院,是
88,89,A2140012,工程技术基础(2)(金工实习),先进制造工程学院,是
89,90,A2081110,控制系统理论与方法(1)(自动控制原理),自动化学院,是
90,91,A2021540,自动化技术基础(2)(模电数电),光电工程学院,是
91,92,A2080011,工程技术基础(3)(电装实习),自动化学院,是
92,93,A2081370,控制系统开发技术(2)(数据结构),自动化学院,是
93,94,A2081180,自动化专题讲座(3),自动化学院,是
94,95,A2060270,运动生理学,生物信息学院,是
95,96,A200001D,认识实习,体育学院,是
96,97,A2090280,体育测量与评价,体育学院,是
97,98,A2090340,体育竞赛组织与管理,体育学院,是
98,99,A2090560,游泳与救生2,体育学院,是
99,100,A2090470,武术,体育学院,是
100,101,A2090430,网球,体育学院,是
101,102,A2090020,健美操,体育学院,是
102,103,A2090100,篮球,体育学院,是
103,104,A2110710,电磁学,理学院,是
104,105,A2110740,光学,理学院,是
105,106,A2110750,基础物理实验,理学院,是
106,107,A2110520,数学物理方法（物理类）,理学院,是
107,108,A2110291,理论力学B,理学院,是
108,109,A2021021,电路与模拟电子技术A,光电工程学院,是
109,110,A2021200,模拟电子电路实验,光电工程学院,是
110,111,A2121200,影视作品分析3,传媒艺术学院,是
111,112,A2121430,摄像技术2,传媒艺术学院,是
112,113,A2121080,影视编辑技艺A,传媒艺术学院,是
113,114,A2121081,影视编辑技艺B,传媒艺术学院,是
114,115,A2130370,课程设计(面向对象程序设计）,软件工程学院,是
115,116,A200001E,认识实习,软件工程学院,是
116,117,A2130200,数据与算法基础 (1) (数据结构),软件工程学院,是
117,118,A2130210,数据与算法基础 (2) (数据库),软件工程学院,是
118,119,A2130620,软件需求工程,软件工程学院,否
119,120,A2130590,软件测试与维护,软件工程学院,是
120,121,A2050990,英语视听说3,外国语学院,是
121,122,A2051030,英语写作2,外国语学院,是
122,123,A2051040,英语语音与朗诵,外国语学院,是
123,124,A1110130,随机数学（含概率论、数理统计、随机过程）,理学院,是
124,125,A1110140,概率论与数理统计,理学院,是
125,126,A2051110,综合英语3,外国语学院,是
126,127,A2050870,日语精读3,外国语学院,是
127,128,A2050910,日语视听说3,外国语学院,是
128,129,A2020810,电子技术实验B,光电工程学院,是
129,130,A2021110,电工学下,光电工程学院,是
130,131,A2140190,理论力学,先进制造工程学院,是
131,132,A1040080,数据结构,计算机科学与技术学院,是
132,133,A2150080,英语视听说 3,国际学院,是
133,134,A2051110,综合英语3,外国语学院,是
134,135,A2150020,西方社会与文化,国际学院,是
135,136,A2051070,英语中级新闻听力1,外国语学院,是
136,137,A2021300,电路理论及应用I(美方授课),光电工程学院,是
137,138,A2021310,电路理论及应用实验I(美方授课),光电工程学院,是
138,139,A2011220,微处理器(美方授课),通信与信息工程学院,是
139,140,A2150010,批判性思维,国际学院,否
140,141,A2020940,微电子学科基础,光电工程学院,是
141,142,A2020360,电子电路基础A,光电工程学院,是
142,143,A2020580,固体物理(双语),光电工程学院,否
143,144,A2021001,固体物理,光电工程学院,是
