序号,课程号,课程名称,开课学院,是否
43,A2030340,BIM识图构造综合实训,经济管理学院,否
44,A2031670,物流与供应链管理,经济管理学院,否
45,A2030590,建筑结构,经济管理学院,否
46,A1030050,计算机网络技术,经济管理学院,否
47,A1100050,毛泽东思想和中国特色社会主义理论体系概论,马克思主义学院,否
48,A1030040,数据库系统应用,经济管理学院,否
49,A2032190,市场营销学E,经济管理学院,否
50,A2031040,会计学,经济管理学院,否
51,A2032090,面向现代企业制度的管理伦理,经济管理学院,否
52,A2032050,管理学E,经济管理学院,否
53,A2032060,会计学模拟实践,经济管理学院,否
54,A2032160,微观经济学E,经济管理学院,否
55,A2032050,管理学E,经济管理学院,否
56,A2032300,创业案例分析,经济管理学院,否
57,A200001B,认识实习,经济管理学院,否
58,A2030190,经济学,经济管理学院,否
59,A1030040,数据库系统应用,经济管理学院,否
60,A2032510,邮政管理导论,经济管理学院,否
61,A2031240,市场营销学A,经济管理学院,否
62,A1110320,大学物理B（下）,理学院,是
63,A200001C,认识实习,计算机科学与技术学院,否
64,A2020390,数字与逻辑电路基础,光电工程学院,否
65,A2021020,电路与模拟电子技术B,光电工程学院,否
66,A2021060,数字电路与逻辑设计实验A,光电工程学院,否
67,A2040480,数据结构与算法A,计算机科学与技术学院,否
68,A2021070,数字电路与逻辑设计,光电工程学院,否
69,A2050680,英语小说阅读,外国语学院,否
70,A2050690,英语演讲与辩论,外国语学院,否
71,A2050750,语言学导论,外国语学院,否
72,A2050460,新闻英语听力,外国语学院,否
73,A2050530,英语表演,外国语学院,否
74,A2050570,英语基础写作2,外国语学院,否
75,A1030070,Excel管理数据分析,经济管理学院,否
76,A2050180,韩语1,外国语学院,否
77,A2050020,《圣经》与文化,外国语学院,否
78,A2050040,德语1,外国语学院,否
79,A2050100,法语1,外国语学院,否
80,A2050360,日语1,外国语学院,否
81,A2050320,跨文化交际,外国语学院,否
82,A2020353,电路分析基础C,光电工程学院,否
83,A2021021,电路与模拟电子技术A,光电工程学院,否
84,A2021200,模拟电子电路实验,光电工程学院,否
85,A2010561,信号与系统D,通信与信息工程学院,否
86,A2020361,电子电路基础C,光电工程学院,否
87,A2080580,软件技术基础,自动化学院,否
88,A1110361,大学物理C（下）,理学院,是
89,A2140012,工程技术基础(2)(金工实习),先进制造工程学院,否
90,A2081110,控制系统理论与方法(1)(自动控制原理),自动化学院,否
91,A2021540,自动化技术基础(2)(模电数电),光电工程学院,否
92,A2080011,工程技术基础(3)(电装实习),自动化学院,否
93,A2081370,控制系统开发技术(2)(数据结构),自动化学院,否
94,A2081180,自动化专题讲座(3),自动化学院,否
95,A2060270,运动生理学,生物信息学院,否
96,A200001D,认识实习,体育学院,否
97,A2090280,体育测量与评价,体育学院,否
98,A2090340,体育竞赛组织与管理,体育学院,否
99,A2090560,游泳与救生2,体育学院,否
100,A2090470,武术,体育学院,否
101,A2090430,网球,体育学院,否
102,A2090020,健美操,体育学院,否
103,A2090100,篮球,体育学院,否
104,A2110710,电磁学,理学院,是
105,A2110740,光学,理学院,是
106,A2110750,基础物理实验,理学院,否
107,A2110520,数学物理方法（物理类）,理学院,是
108,A2110291,理论力学B,理学院,是
109,A2021021,电路与模拟电子技术A,光电工程学院,否
110,A2021200,模拟电子电路实验,光电工程学院,否
111,A2121200,影视作品分析3,传媒艺术学院,否
112,A2121430,摄像技术2,传媒艺术学院,否
113,A2121080,影视编辑技艺A,传媒艺术学院,否
114,A2121081,影视编辑技艺B,传媒艺术学院,否
115,A2130370,课程设计(面向对象程序设计）,软件工程学院,否
116,A200001E,认识实习,软件工程学院,否
117,A2130200,数据与算法基础 (1) (数据结构),软件工程学院,否
118,A2130210,数据与算法基础 (2) (数据库),软件工程学院,否
119,A2130620,软件需求工程,软件工程学院,否
120,A2130590,软件测试与维护,软件工程学院,否
121,A2050990,英语视听说3,外国语学院,否
122,A2051030,英语写作2,外国语学院,否
123,A2051040,英语语音与朗诵,外国语学院,否
124,A1110130,随机数学（含概率论、数理统计、随机过程）,理学院,是
125,A1110140,概率论与数理统计,理学院,是
126,A2051110,综合英语3,外国语学院,否
127,A2050870,日语精读3,外国语学院,否
128,A2050910,日语视听说3,外国语学院,否
129,A2020810,电子技术实验B,光电工程学院,否
130,A2021110,电工学下,光电工程学院,否
131,A2140190,理论力学,先进制造工程学院,否
132,A1040080,数据结构,计算机科学与技术学院,否
133,A2150080,英语视听说 3,国际学院,否
134,A2051110,综合英语3,外国语学院,否
135,A2150020,西方社会与文化,国际学院,否
136,A2051070,英语中级新闻听力1,外国语学院,否
137,A2021300,电路理论及应用I(美方授课),光电工程学院,否
138,A2021310,电路理论及应用实验I(美方授课),光电工程学院,否
139,A2011220,微处理器(美方授课),通信与信息工程学院,否
140,A2150010,批判性思维,国际学院,否
141,A2020940,微电子学科基础,光电工程学院,否
142,A2020360,电子电路基础A,光电工程学院,否
143,A2020580,固体物理(双语),光电工程学院,否
144,A2021001,固体物理,光电工程学院,否
